"id","movie_id","title","vote_average","vote_count","overview","release_date","genres","providers","provider_release_dates","trending","timestamp","poster_image"
4200,948276,Lost Bullet 2,6.528,354,"Having cleared his name, genius mechanic Lino has only one goal in mind: getting revenge on the corrupt cops who killed his brother and his mentor.",2022-11-10,"{Action,Crime,Thriller}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/uAeZI1JJbLPq7Bu5dziH7emHeu7.jpg
7125,129,Spirited Away,8.5,16230,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,"{Animation,Family,Fantasy}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",true,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
31,653346,Kingdom of the Planet of the Apes,7.171,2568,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",2024-05-09,"{""Science Fiction"",Adventure,Action}","{""Disney Plus""}",{NULL},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/gKkl37BQuKTanygYQG1pyYgLVgf.jpg
685,449443,Den of Thieves,6.803,2785,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,2018-02-02,"{Action,Crime,Thriller}","{""MGM Plus Amazon Channel""}",{NULL},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/AfybH6GbGFw1F9bcETe2yu25mIE.jpg
4499,73454,X,6.493,276,A veteran call girl and a runaway prostitute witness a murder which sends them on an out-of-control roller coaster ride through the twilight zone of sex-for-sale.,2011-11-23,"{Action,Thriller,Romance}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/nvU6uTwSpMpitM6mnuYXb1LgxxX.jpg
3786,864116,A Day to Die,5.817,208,"A disgraced parole officer is indebted to a local gang leader and forced to pull off a series of dangerous drug heists within twelve hours in order to pay the $2 million dollars he owes, rescue his kidnapped pregnant wife, and settle a score with the city's corrupt police chief, who is working with the gang leader and double-crossed him years ago.",2022-03-04,"{Action,Thriller,Crime,Drama}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/8Kce1utfytAG5m1PbtVoDzmDZJH.jpg
4686,44877,"4.3.2.1",5.521,194,"Jo is chained down in a dead end supermarket job while all her friends are all out on their own separate adventures. But a chance encounter with some diamond thieves sends their separate worlds on a collision course with not only each other, but fate itself.",2010-06-02,"{Action,Thriller,Crime,Romance}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/exk2AVJKHWTEk7wjUbaTNfQWDme.jpg
5695,162215,How I Live Now,6.7,846,"An American girl, sent to the English countryside to stay with relatives, finds love and purpose while fighting for her survival as war envelops the world around her.",2013-10-03,"{Drama,Action,Thriller,War}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/4FyDHVuuiy6XObYLyXxFUb4oX8J.jpg
52827,1162650,"72 Hours - Operation Gold",6.5,2,"",2023-08-09,"{Mystery,Action,Drama}",{},{},false,2024-07-19 05:12:11.609,https://image.tmdb.org/t/p/w500/tGiqr2SKhGyjkTXHIYjFwsBZIhp.jpg
4072,842544,Transfusion,6.057,236,"Ryan Logan, a former Special Forces operative, is battling to cope with life after the loss of his wife.  He is thrusted into the criminal underworld to keep his only son from being taken from him.",2023-01-23,"{Crime,Action,Drama}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/bxh5xCCW9Ynfg6EZJWUkc1zqTnr.jpg
40547,392909,Su saek,7.2,2,"Yoon-seok, Sang-woo, Won-seon, Ho-young are 4 best friends living in Susaek, the poor town in Seoul. Having the waste landfill nearby, Susaek is full of smells and trucks carrying the metropolitan garbage. When Korea holds the 2002 World Cup, Susaek is mentioned for the place of new soccer stadium. Rich dealers crowd into the town and villagers get excited for the hope of redevelopment. Meanwhile Won-seon is recruited by the regional gang and gets involved in the redevelopment business, and the petty jealousy of Sang-woo cracks down their friendship…",2016-03-31,"{Drama,Crime,Action}",{},{},false,2024-07-13 05:11:38.447,https://image.tmdb.org/t/p/w500/bjlyYTh7yiriZ4SQUcujHu04IN4.jpg
